#ID,radius,vdisp,surfdens
305,4.8,2.14,131.30
307,8.5,1.40,71.72
309,12.7,1.32,71.73
310,15.0,1.58,106.32
311,13.1,0.77,14.20
312,5.6,0.45,27.69
313,18.1,1.95,23.34
314,5.7,0.98,131.91
315,6.4,1.16,88.90
316,10.3,1.39,85.28
317,14.9,2.30,216.76
318,5.9,1.15,100.59
319,10.2,0.97,47.65
320,12.9,1.18,22.89
322,17.1,1.33,55.18
323,10.7,1.25,34.50
324,9.2,0.46,30.78
325,21.1,1.41,71.41
326,19.4,2.44,104.12
327,7.4,2.80,102.31
328,7.8,0.77,29.01
329,10.8,1.53,124.88
330,14.0,1.09,22.72
331,9.1,0.88,86.26
332,12.7,1.88,35.43
333,7.4,0.92,97.19
334,3.9,0.71,145.49
335,9.8,1.30,56.87
336,17.7,1.92,112.30
337,8.0,1.18,82.72
338,16.0,1.79,67.29
339,13.1,0.77,31.83
342,8.9,1.49,56.23
345,9.1,1.37,99.79
346,19.2,1.38,32.75
347,17.7,2.38,84.22
348,13.0,1.02,59.67
349,12.4,2.73,158.31
350,19.8,2.11,138.33
352,15.8,1.71,51.84
353,8.9,1.90,72.85
354,14.7,1.88,59.63
356,7.7,1.21,212.60
357,9.6,0.97,37.69
358,9.5,1.58,253.89
361,9.6,0.78,90.27
363,8.1,1.73,87.09
364,16.3,0.65,10.23
366,13.6,1.08,51.49
368,9.4,0.79,67.52
369,15.8,0.60,31.75
370,12.5,0.84,45.36
371,7.6,0.96,52.38
372,7.4,0.75,35.30
373,7.5,1.19,51.29
374,11.6,2.15,131.56
375,9.2,0.60,29.12
376,6.9,1.30,170.03
377,17.9,1.20,46.25
378,12.7,1.55,68.95
380,18.5,2.16,166.39
382,10.2,0.94,31.23
383,17.7,0.79,28.61
384,7.5,2.13,117.02
385,14.1,1.26,42.83
386,12.1,1.05,40.56
387,28.2,1.52,69.57
388,13.0,1.61,249.95
390,10.3,1.11,61.26
391,15.0,2.24,46.44
393,21.8,1.31,86.35
394,8.5,1.20,73.66
395,15.4,1.51,40.16
396,7.2,1.34,106.45
397,14.3,1.78,57.26
398,4.7,0.66,49.45
399,8.3,1.39,38.22
400,15.3,0.95,29.68
401,17.8,1.26,78.24
402,38.3,2.79,29.58
403,12.8,1.01,59.67
404,9.6,1.60,43.77
406,9.1,0.56,11.16
407,13.2,1.15,86.17
408,7.2,1.94,348.52
409,11.6,1.49,85.56
410,9.9,1.50,187.77
411,15.9,2.20,154.23
412,13.7,1.82,44.47
414,6.3,1.16,85.40
415,6.2,1.13,98.37
416,7.3,1.07,114.06
