#ID,radius,vdisp,surfdens
LMC255,13.8,1.76,65.60
LMC256,12.0,1.40,50.58
LMC257,11.7,0.80,54.64
LMC258,12.3,1.30,27.40
LMC259,13.5,1.59,54.10
LMC260,15.8,1.10,19.97
LMC261,10.0,1.22,65.55
LMC262,11.7,0.62,34.38
LMC263,24.5,3.43,152.32
LMC264,7.6,1.29,44.62
LMC266,6.5,1.19,56.35
LMC268,11.7,1.37,63.23
LMC270,14.0,1.61,134.91
LMC271,25.2,1.67,160.65
LMC272,18.8,1.58,94.47
LMC274,17.4,2.10,38.49
LMC275,9.7,1.08,52.40
LMC276,11.0,1.77,81.02
LMC278,12.8,1.59,92.49
LMC280,8.6,1.31,91.28
LMC282,17.6,1.26,67.64
LMC283,16.4,1.20,71.55
LMC284,6.5,1.17,35.14
LMC286,18.0,1.28,52.82
LMC287,7.8,0.88,67.22
LMC288,17.6,1.24,46.03
LMC289,23.7,1.80,57.85
LMC290,16.6,2.18,111.92
LMC291,12.5,2.16,316.95
LMC292,14.3,1.62,84.38
LMC293,6.4,0.99,73.86
LMC294,7.6,0.82,87.29
LMC295,10.0,1.47,46.22
LMC296,6.0,0.88,91.04
LMC297,17.7,2.19,125.17
LMC299,3.8,1.19,209.50
LMC301,19.8,1.75,29.87
LMC302,7.1,1.54,206.15
LMC303,13.0,1.29,25.36
LMC304,5.6,0.77,66.99
LMC305,4.8,2.14,131.30
LMC307,8.5,1.40,71.72
LMC309,12.7,1.32,71.73
LMC310,15.0,1.58,106.32
LMC311,13.1,0.77,14.20
LMC312,5.6,0.45,27.69
LMC313,18.1,1.95,23.34
LMC314,5.7,0.98,131.91
LMC315,6.4,1.16,88.90
LMC316,10.3,1.39,85.28
LMC317,14.9,2.30,216.76
LMC318,5.9,1.15,100.59
LMC319,10.2,0.97,47.65
LMC320,12.9,1.18,22.89
LMC322,17.1,1.33,55.18
LMC323,10.7,1.25,34.50
LMC324,9.2,0.46,30.78
LMC325,21.1,1.41,71.41
LMC326,19.4,2.44,104.12
LMC327,7.4,2.80,102.31
LMC328,7.8,0.77,29.01
LMC329,10.8,1.53,124.88
LMC330,14.0,1.09,22.72
LMC331,9.1,0.88,86.26
LMC332,12.7,1.88,35.43
LMC333,7.4,0.92,97.19
LMC334,3.9,0.71,145.49
LMC335,9.8,1.30,56.87
LMC336,17.7,1.92,112.30
LMC337,8.0,1.18,82.72
LMC338,16.0,1.79,67.29
LMC339,13.1,0.77,31.83
LMC342,8.9,1.49,56.23
LMC345,9.1,1.37,99.79
LMC346,19.2,1.38,32.75
LMC347,17.7,2.38,84.22
LMC348,13.0,1.02,59.67
LMC349,12.4,2.73,158.31
LMC350,19.8,2.11,138.33
LMC352,15.8,1.71,51.84
LMC353,8.9,1.90,72.85
LMC354,14.7,1.88,59.63
LMC356,7.7,1.21,212.60
LMC357,9.6,0.97,37.69
LMC358,9.5,1.58,253.89
LMC361,9.6,0.78,90.27
LMC363,8.1,1.73,87.09
LMC364,16.3,0.65,10.23
LMC366,13.6,1.08,51.49
LMC368,9.4,0.79,67.52
LMC369,15.8,0.60,31.75
LMC370,12.5,0.84,45.36
LMC371,7.6,0.96,52.38
LMC372,7.4,0.75,35.30
