Galaxy,RAD_PC,SIGV_KMS,MLUM_MSUN
M31_1,11.097576141357422,6.428878307342529,1159.3336181640625
M31_2,19.55683135986328,5.940319538116455,71.26280975341797
M31_3,17.383668899536133,2.5107197761535645,281.7053527832031
M31_4,15.441807746887207,2.3260929584503174,202.2544708251953
M31_5,22.663156509399414,5.451467514038086,341.4820861816406
M31_6,42.26204299926758,3.7824506759643555,188.82859802246094
M31_7,27.673341751098633,4.092750549316406,88.25011444091797
M31_8,19.98702049255371,4.613430976867676,210.04977416992188
M31_9,22.426624298095703,7.096729278564453,136.39683532714844
M31_10,8.711701393127441,1.6712656021118164,233.2156219482422
M31_11,31.058025360107422,3.182605266571045,99.41255950927734
M31_12,31.63108253479004,3.5373482704162598,80.62399291992188
M31_13,11.806136131286621,3.607370138168335,181.9846649169922
M31_14,54.799903869628906,4.4907732009887695,50.48823165893555
M31_15,23.37502098083496,3.0484325885772705,184.31820678710938
M31_16,30.127052307128906,2.4270193576812744,123.50240325927734
M31_17,21.073490142822266,4.243139266967773,197.607177734375
M31_18,21.888837814331055,2.1636035442352295,51.16736602783203
M31_19,63.03414535522461,4.53962516784668,26.84759521484375
M31_20,34.943641662597656,2.2867236137390137,107.9289779663086
M31_21,46.497318267822266,2.9983391761779785,42.24182891845703
M31_22,41.82243347167969,3.1098523139953613,46.41254425048828
M31_23,31.458412170410156,3.8218398094177246,13.349239349365234
M31_24,82.62176513671875,6.9215850830078125,61.15814208984375
M31_25,17.197641372680664,3.452615976333618,123.25784301757812
M31_26,36.48109436035156,4.7833147048950195,45.91926193237305
M31_27,35.12361526489258,6.421692371368408,206.6949462890625
M31_28,40.2479248046875,3.3945159912109375,79.1925277709961
M31_29,57.28409957885742,7.167381763458252,37.686790466308594
M31_30,23.19283103942871,2.701714515686035,38.89672088623047
M31_31,20.115787506103516,0.7103445529937744,146.24932861328125
M31_32,51.87594223022461,2.5799760818481445,100.84405517578125
M31_33,46.74795150756836,1.4384523630142212,16.61153221130371
M31_34,25.718677520751953,2.3784196376800537,71.9841537475586
M31_35,20.87958335876465,3.3271358013153076,201.41427612304688
M31_36,27.714906692504883,1.9920392036437988,55.73774337768555
M31_37,58.281883239746094,4.175801753997803,111.02201843261719
M31_38,29.665910720825195,3.1386513710021973,58.33293533325195
M31_39,18.72382926940918,3.8429858684539795,76.70674133300781
M31_40,43.895259857177734,1.686763048171997,32.25640106201172
M31_41,28.593406677246094,5.061901569366455,76.35292053222656
M31_42,33.13284683227539,2.195505142211914,18.119272232055664
M31_43,9.745892524719238,2.7113053798675537,203.80264282226562
M31_44,63.93878173828125,3.2143752574920654,29.70743179321289
M31_45,31.527915954589844,4.4124956130981445,79.8318099975586
M31_46,30.187578201293945,2.674138307571411,118.89766693115234
M31_47,15.901082992553711,3.911747932434082,205.78785705566406
M31_48,51.73040771484375,4.011651515960693,51.09087371826172
